,container_id,container_workflow_state,donor_id,full_genotype,sex,created_at,behavior_session_id,equipment_name,ophys_session_name,ophys_experiment_id,ophys_workflow_state,imaging_depth,targeted_structure,stage_name,retake_number
38,782536745,postprocessing,722884873,Slc17a7-IRES2-Cre/wt;Camk2a-tTA/wt;Ai93(TITL-GCaMP6f)/wt,F,2018-11-08 20:45:52.011892,775378326,CAM2P.5,20181108_403491_1imagesA,775614751,passed,375,VISp,OPHYS_1_images_A,0.0
39,782536745,postprocessing,722884873,Slc17a7-IRES2-Cre/wt;Camk2a-tTA/wt;Ai93(TITL-GCaMP6f)/wt,F,2018-11-13 19:45:53.130447,778166125,CAM2P.5,20181113_403491_2imagesA,778644591,passed,375,VISp,OPHYS_2_images_A_passive,0.0
46,782536745,postprocessing,722884873,Slc17a7-IRES2-Cre/wt;Camk2a-tTA/wt;Ai93(TITL-GCaMP6f)/wt,F,2018-12-10 18:40:53.679184,792499741,CAM2P.5,20181210_403491_4imagesB,792812544,passed,375,VISp,OPHYS_4_images_B,2.0
35,782536745,postprocessing,722884873,Slc17a7-IRES2-Cre/wt;Camk2a-tTA/wt;Ai93(TITL-GCaMP6f)/wt,F,2018-12-15 19:10:57.996849,796032489,CAM2P.5,20181215_403491_5imagesB,796106850,passed,375,VISp,OPHYS_5_images_B_passive,2.0
37,782536745,postprocessing,722884873,Slc17a7-IRES2-Cre/wt;Camk2a-tTA/wt;Ai93(TITL-GCaMP6f)/wt,F,2018-11-29 18:55:48.200392,788017709,CAM2P.5,20181129_403491_6imagesB,788490510,passed,375,VISp,OPHYS_6_images_B,0.0
138,791352433,container_qc,744911447,Vip-IRES-Cre/wt;Ai148(TIT2L-GC6f-ICL-tTA2)/wt,F,2018-12-10 22:55:54.442359,792680306,CAM2P.4,20181210_412036_1imagesA,792815735,passed,175,VISp,OPHYS_1_images_A,0.0
144,791352433,container_qc,744911447,Vip-IRES-Cre/wt;Ai148(TIT2L-GC6f-ICL-tTA2)/wt,F,2018-12-19 01:00:55.101414,798126878,CAM2P.4,20181218_412036_2_images_passive,798404219,passed,175,VISp,OPHYS_2_images_A_passive,1.0
140,791352433,container_qc,744911447,Vip-IRES-Cre/wt;Ai148(TIT2L-GC6f-ICL-tTA2)/wt,F,2018-12-13 22:50:55.961023,794968300,CAM2P.4,20181213_412036_3imagesA,795073741,passed,175,VISp,OPHYS_3_images_A,0.0
141,791352433,container_qc,744911447,Vip-IRES-Cre/wt;Ai148(TIT2L-GC6f-ICL-tTA2)/wt,F,2018-12-14 21:55:54.143808,795742990,CAM2P.4,20181214_412036_4imagesB,795953296,passed,175,VISp,OPHYS_4_images_B,0.0
142,791352433,container_qc,744911447,Vip-IRES-Cre/wt;Ai148(TIT2L-GC6f-ICL-tTA2)/wt,F,2018-12-15 22:25:51.747219,796052844,CAM2P.4,20181215_412036_5imagesB,796108483,passed,175,VISp,OPHYS_5_images_B_passive,0.0
143,791352433,container_qc,744911447,Vip-IRES-Cre/wt;Ai148(TIT2L-GC6f-ICL-tTA2)/wt,F,2018-12-16 22:30:56.683808,796251270,CAM2P.4,20181216_412036_6imagesB,796308505,passed,175,VISp,OPHYS_6_images_B,0.0
53,803516615,postprocessing,766015379,Slc17a7-IRES2-Cre/wt;Camk2a-tTA/wt;Ai93(TITL-GCaMP6f)/wt,M,2019-02-12 18:30:54.931794,821521826,CAM2P.3,20190212_423606_1imagesA,822024770,passed,175,VISp,OPHYS_1_images_A,2.0
52,803516615,postprocessing,766015379,Slc17a7-IRES2-Cre/wt;Camk2a-tTA/wt;Ai93(TITL-GCaMP6f)/wt,M,2019-02-13 18:40:46.695574,822249041,CAM2P.3,20190213_423606_2imagesA_Passive,822641265,passed,175,VISp,OPHYS_2_images_A_passive,1.0
51,803516615,postprocessing,766015379,Slc17a7-IRES2-Cre/wt;Camk2a-tTA/wt;Ai93(TITL-GCaMP6f)/wt,M,2019-02-14 18:55:46.337824,822995693,CAM2P.3,20190214_423606_3imagesa,823392290,passed,175,VISp,OPHYS_3_images_A,1.0
50,803516615,postprocessing,766015379,Slc17a7-IRES2-Cre/wt;Camk2a-tTA/wt;Ai93(TITL-GCaMP6f)/wt,M,2019-02-18 18:15:53.045535,824625446,CAM2P.3,20190218_423606_4imagesB,825120601,passed,175,VISp,OPHYS_4_images_B,1.0
49,803516615,postprocessing,766015379,Slc17a7-IRES2-Cre/wt;Camk2a-tTA/wt;Ai93(TITL-GCaMP6f)/wt,M,2019-02-19 17:50:53.187751,825235376,CAM2P.3,20190219_423606_5imagesB_passive,825623170,passed,175,VISp,OPHYS_5_images_B_passive,1.0
48,803516615,postprocessing,766015379,Slc17a7-IRES2-Cre/wt;Camk2a-tTA/wt;Ai93(TITL-GCaMP6f)/wt,M,2019-02-20 17:45:53.621961,825801398,CAM2P.3,20190220_423606_6imagesB,826585773,passed,175,VISp,OPHYS_6_images_B,3.0
160,803517529,postprocessing,772629800,Slc17a7-IRES2-Cre/wt;Camk2a-tTA/wt;Ai93(TITL-GCaMP6f)/wt,M,2019-01-09 20:06:02.717188,806109931,CAM2P.4,20190109_425493_1imagesA,806456687,passed,375,VISp,OPHYS_1_images_A,0.0
152,803517529,postprocessing,772629800,Slc17a7-IRES2-Cre/wt;Camk2a-tTA/wt;Ai93(TITL-GCaMP6f)/wt,M,2019-01-21 20:45:55.879865,811303680,CAM2P.4,20190121_425493_2imagesA,811456530,passed,375,VISp,OPHYS_2_images_A_passive,2.0
158,803517529,postprocessing,772629800,Slc17a7-IRES2-Cre/wt;Camk2a-tTA/wt;Ai93(TITL-GCaMP6f)/wt,M,2019-01-11 20:00:58.195882,807356557,CAM2P.4,20190111_425493_3imagesA,807752719,passed,375,VISp,OPHYS_3_images_A,0.0
157,803517529,postprocessing,772629800,Slc17a7-IRES2-Cre/wt;Camk2a-tTA/wt;Ai93(TITL-GCaMP6f)/wt,M,2019-01-14 20:25:56.119541,808324301,CAM2P.4,20190104_425493_4imagesB,808619543,passed,375,VISp,OPHYS_4_images_B,0.0
150,803517529,postprocessing,772629800,Slc17a7-IRES2-Cre/wt;Camk2a-tTA/wt;Ai93(TITL-GCaMP6f)/wt,M,2019-01-24 20:15:54.912037,812955256,CAM2P.4,20190124_425493_6imagesB,813083478,passed,375,VISp,OPHYS_6_images_B,1.0
95,803589437,container_qc,772622642,Slc17a7-IRES2-Cre/wt;Camk2a-tTA/wt;Ai93(TITL-GCaMP6f)/wt,M,2019-01-09 23:26:01.260791,806296598,CAM2P.4,20190109_425496_1_images_A,806455766,passed,175,VISp,OPHYS_1_images_A,0.0
94,803589437,container_qc,772622642,Slc17a7-IRES2-Cre/wt;Camk2a-tTA/wt;Ai93(TITL-GCaMP6f)/wt,M,2019-01-10 22:51:00.487241,806841326,CAM2P.4,20190110_425496_2_images_A_passive,806989729,passed,175,VISp,OPHYS_2_images_A_passive,0.0
93,803589437,container_qc,772622642,Slc17a7-IRES2-Cre/wt;Camk2a-tTA/wt;Ai93(TITL-GCaMP6f)/wt,M,2019-01-11 22:05:52.490555,807584876,CAM2P.4,20190111_425496,807753334,passed,175,VISp,OPHYS_3_images_A,0.0
92,803589437,container_qc,772622642,Slc17a7-IRES2-Cre/wt;Camk2a-tTA/wt;Ai93(TITL-GCaMP6f)/wt,M,2019-01-14 22:15:57.203285,808432167,CAM2P.4,20180114_425496_4_imagesB,808621034,passed,175,VISp,OPHYS_4_images_B,0.0
88,803589437,container_qc,772622642,Slc17a7-IRES2-Cre/wt;Camk2a-tTA/wt;Ai93(TITL-GCaMP6f)/wt,M,2019-01-21 22:50:58.132139,811355443,CAM2P.4,20180121_425496_5_session_B,811458048,passed,175,VISp,OPHYS_5_images_B_passive,1.0
90,803589437,container_qc,772622642,Slc17a7-IRES2-Cre/wt;Camk2a-tTA/wt;Ai93(TITL-GCaMP6f)/wt,M,2019-01-16 23:20:56.655195,809427293,CAM2P.4,20190116_425496_6_images_B,809501118,passed,175,VISp,OPHYS_6_images_B,0.0
164,812858755,postprocessing,789992895,Slc17a7-IRES2-Cre/wt;Camk2a-tTA/wt;Ai93(TITL-GCaMP6f)/wt,M,2019-02-13 23:15:59.453236,822439453,CAM2P.5,20190213_431023_VISp_175um_1a,822647135,passed,175,VISp,OPHYS_1_images_A,2.0
173,812858755,postprocessing,789992895,Slc17a7-IRES2-Cre/wt;Camk2a-tTA/wt;Ai93(TITL-GCaMP6f)/wt,M,2019-01-30 22:40:50.600248,815521974,CAM2P.5,20190130_431023_2imagesA,815652334,passed,175,VISp,OPHYS_2_images_A_passive,0.0
161,812858755,postprocessing,789992895,Slc17a7-IRES2-Cre/wt;Camk2a-tTA/wt;Ai93(TITL-GCaMP6f)/wt,M,2019-02-18 21:15:51.342412,824894721,CAM2P.5,20190218_431023_VISp_175um_3a,825130141,passed,175,VISp,OPHYS_3_images_A,1.0
171,812858755,postprocessing,789992895,Slc17a7-IRES2-Cre/wt;Camk2a-tTA/wt;Ai93(TITL-GCaMP6f)/wt,M,2019-02-01 21:50:55.728027,817165094,CAM2P.5,20190201_431023_4imagesB,817267785,passed,175,VISp,OPHYS_4_images_B,0.0
167,812858755,postprocessing,789992895,Slc17a7-IRES2-Cre/wt;Camk2a-tTA/wt;Ai93(TITL-GCaMP6f)/wt,M,2019-02-08 00:20:58.831759,820124540,CAM2P.5,20190129_431023_VISp_175um_6,820307518,passed,175,VISp,OPHYS_6_images_B,0.0
96,814796558,postprocessing,756577240,Slc17a7-IRES2-Cre/wt;Camk2a-tTA/wt;Ai93(TITL-GCaMP6f)/wt,F,2018-11-21 02:20:52.503165,783629024,CAM2P.4,20181120_416369_2P3_VISp_375_1,783927872,passed,375,VISp,OPHYS_1_images_A,0.0
97,814796558,postprocessing,756577240,Slc17a7-IRES2-Cre/wt;Camk2a-tTA/wt;Ai93(TITL-GCaMP6f)/wt,F,2018-11-21 22:40:53.254148,784320573,CAM2P.4,20181121_416369_2P3_VISp_375_2,784482326,passed,375,VISp,OPHYS_2_images_A_passive,0.0
105,814796558,postprocessing,756577240,Slc17a7-IRES2-Cre/wt;Camk2a-tTA/wt;Ai93(TITL-GCaMP6f)/wt,F,2018-12-15 01:50:57.642552,795903435,CAM2P.5,20181214_416369_2P5_VISp_375_3,795948257,passed,375,VISp,OPHYS_3_images_A,3.0
107,814796558,postprocessing,756577240,Slc17a7-IRES2-Cre/wt;Camk2a-tTA/wt;Ai93(TITL-GCaMP6f)/wt,F,2018-12-19 23:35:59.300547,799131344,CAM2P.5,20181219_416369_2P5_VISp_375_4,799368904,passed,375,VISp,OPHYS_4_images_B,3.0
108,814796558,postprocessing,756577240,Slc17a7-IRES2-Cre/wt;Camk2a-tTA/wt;Ai93(TITL-GCaMP6f)/wt,F,2018-11-30 02:10:52.217416,788447502,CAM2P.5,20181129_416369_2P3_VISp_375_5,788489531,passed,375,VISp,OPHYS_5_images_B_passive,0.0
100,814796558,postprocessing,756577240,Slc17a7-IRES2-Cre/wt;Camk2a-tTA/wt;Ai93(TITL-GCaMP6f)/wt,F,2018-12-01 01:20:52.404558,789295700,CAM2P.5,20181130_416369_2P3_VISp_375_6,789359614,passed,375,VISp,OPHYS_6_images_B,0.0
80,814796612,container_qc,756674776,Slc17a7-IRES2-Cre/wt;Camk2a-tTA/wt;Ai93(TITL-GCaMP6f)/wt,F,2018-12-10 18:10:54.720762,792477679,CAM2P.4,20181210_412366_1ImagesA,792813858,passed,375,VISp,OPHYS_1_images_A,0.0
87,814796612,container_qc,756674776,Slc17a7-IRES2-Cre/wt;Camk2a-tTA/wt;Ai93(TITL-GCaMP6f)/wt,F,2018-12-18 01:15:57.462081,797170547,CAM2P.4,20181217_412366_2_images_A_passive,797255551,passed,375,VISp,OPHYS_2_images_A_passive,1.0
82,814796612,container_qc,756674776,Slc17a7-IRES2-Cre/wt;Camk2a-tTA/wt;Ai93(TITL-GCaMP6f)/wt,F,2018-12-12 18:10:57.812126,794071128,CAM2P.4,20181212_412366_3imagesA,794381992,passed,375,VISp,OPHYS_3_images_A,0.0
83,814796612,container_qc,756674776,Slc17a7-IRES2-Cre/wt;Camk2a-tTA/wt;Ai93(TITL-GCaMP6f)/wt,F,2018-12-13 17:40:57.149536,794673280,CAM2P.4,20181213_412366_4imagesB,795076128,passed,375,VISp,OPHYS_4_images_B,0.0
84,814796612,container_qc,756674776,Slc17a7-IRES2-Cre/wt;Camk2a-tTA/wt;Ai93(TITL-GCaMP6f)/wt,F,2018-12-14 17:51:00.258486,795431009,CAM2P.4,20181214_412366_5imagesB,795952471,passed,375,VISp,OPHYS_5_images_B_passive,0.0
85,814796612,container_qc,756674776,Slc17a7-IRES2-Cre/wt;Camk2a-tTA/wt;Ai93(TITL-GCaMP6f)/wt,F,2018-12-15 19:01:00.670448,796031509,CAM2P.4,20181215_412366_6imagesB,796105304,passed,375,VISp,OPHYS_6_images_B,0.0
124,814797528,container_qc,760949537,Vip-IRES-Cre/wt;Ai148(TIT2L-GC6f-ICL-tTA2)/wt,M,2019-01-04 18:05:58.172180,803341010,CAM2P.5,20190104_421136_1imagesA,803736273,passed,175,VISp,OPHYS_1_images_A,1.0
111,814797528,container_qc,760949537,Vip-IRES-Cre/wt;Ai148(TIT2L-GC6f-ICL-tTA2)/wt,M,2019-01-16 17:55:55.300957,809321253,CAM2P.5,20190116_421136_2imagesA,809497730,passed,175,VISp,OPHYS_2_images_A_passive,2.0
115,814797528,container_qc,760949537,Vip-IRES-Cre/wt;Ai148(TIT2L-GC6f-ICL-tTA2)/wt,M,2019-01-08 18:01:04.592730,805373492,CAM2P.5,20180108_421136_4imagesB,805784331,passed,175,VISp,OPHYS_4_images_B,1.0
114,814797528,container_qc,760949537,Vip-IRES-Cre/wt;Ai148(TIT2L-GC6f-ICL-tTA2)/wt,M,2019-01-11 18:05:55.408737,807198458,CAM2P.5,20180111_421136_5imagesB,807753318,passed,175,VISp,OPHYS_5_images_B_passive,1.0
113,814797528,container_qc,760949537,Vip-IRES-Cre/wt;Ai148(TIT2L-GC6f-ICL-tTA2)/wt,M,2019-01-14 17:55:53.896216,808107647,CAM2P.5,20190114_421136_6imagesB,808621958,passed,175,VISp,OPHYS_6_images_B,1.0
214,825183217,container_qc,791756316,Vip-IRES-Cre/wt;Ai148(TIT2L-GC6f-ICL-tTA2)/wt,M,2019-02-20 18:10:50.575849,825888541,CAM2P.4,20190220_429952_1imagesA,826587940,passed,175,VISp,OPHYS_1_images_A,0.0
